,name,type
3462,Lomba,Oil/Chemical Tanker
3471,Gant Muse,Bulk Carrier
3472,Fadelsia,Bulk Carrier
3473,Sierra,Bulk Carrier
3475,Mel Vision,Bulk Carrier
3477,Aquabella,Bulk Carrier
3480,Sotiria,Bulk Carrier
3481,Cape London,Bulk Carrier
3482,Gsw Frontier,Oil/Chemical Tanker
3486,Liberator,Bulk Carrier
3489,Maestro,Oil/Chemical Tanker
3491,Ocean Wind,Bulk Carrier
3492,New Excellence,Bulk Carrier
3498,Mary,Bulk Carrier
3511,Sea Moon,Bulk Carrier
3515,Iraklis,Bulk Carrier
3517,Harriett,Bulk Carrier
3523,Mount Ophir,Bulk Carrier
3524,Vigorous,Bulk Carrier
3526,Evangelia M,Bulk Carrier
3527,Eirini P,Bulk Carrier
3528,Atrotos,Oil/Chemical Tanker
3529,Assos,Oil/Chemical Tanker
3530,Minoan Dignity,Bulk Carrier
3531,Minoan Courage,Bulk Carrier
3539,Ptolemeos,Bulk Carrier
3540,Aurora Amethyst,Bulk Carrier
3541,Aurora Onyx,Bulk Carrier
3544,Omicron Pride,Bulk Carrier
3546,Aurora Pearl,Bulk Carrier
3549,Mount Hedland,Bulk Carrier
3551,Antaios,Bulk Carrier
3552,MV Olga,Bulk Carrier
3553,Sea Fortune,Bulk Carrier
3554,Panworld,Bulk Carrier
3555,Pangea,Bulk Carrier
3558,Graff,Bulk Carrier
3564,Golden Trader,Bulk Carrier
3565,Long Fu Star,Bulk Carrier
3566,Comet,Bulk Carrier
3571,Ocean Trader I,Bulk Carrier
3576,Akatsuki,Bulk Carrier
3578,Draco,Bulk Carrier
3579,Elpis,Bulk Carrier
3581,Gsw Forward,Oil/Chemical Tanker
3582,Princess Oge,Oil/Chemical Tanker
3583,San Remo II,Bulk Carrier
3584,Tenso,Bulk Carrier
3586,Steel Integrity,Bulk Carrier
3587,Arcturus,Bulk Carrier
3589,Defiant,Bulk Carrier
3592,Hafnia Leo,Oil/Chemical Tanker
3593,Perseus N,Oil/Chemical Tanker
3598,Nautical Dream,Bulk Carrier
3599,Lita,Bulk Carrier
3603,Dona Zoitsa,Bulk Carrier
3604,Antonia S,Bulk Carrier
3605,Magnum Fortune,Bulk Carrier
3609,Startrader,Bulk Carrier
3611,Justice,Bulk Carrier
3614,Aristotelis,Oil/Chemical Tanker
3629,Matumba,Bulk Carrier
3630,Vsc Triton,Bulk Carrier
3631,Pistis,Bulk Carrier
3632,Eternity,Bulk Carrier
3633,Indian Goodwill,Bulk Carrier
3634,Deneb,Bulk Carrier
3636,Indian Partnership,Bulk Carrier
3637,Theofano,Bulk Carrier
3640,Alexander J,Oil/Chemical Tanker
3641,Sileb,Bulk Carrier
3647,Vantage Reef,Bulk Carrier
3648,WPacific,Bulk Carrier
3651,Omicron Way,Bulk Carrier
3654,African Jacaranda,Bulk Carrier
3658,Vsc Poseidon,Bulk Carrier
3659,Yuyo,Bulk Carrier
3661,Delfa,Bulk Carrier
3663,Sentinel,Bulk Carrier
3664,Rigel,Bulk Carrier
3665,Mathilde Oldendorff,Bulk Carrier
3667,Rubyred,Bulk Carrier
3668,Sepetiba Bay,Bulk Carrier
3669,Reihou,Bulk Carrier
3678,Tamarack,Bulk Carrier
3680,Sezai Selah,Bulk Carrier
3681,Green Ray,Oil/Chemical Tanker
3682,MTYellow Ray,Oil/Chemical Tanker
3683,Townsville Maru,Bulk Carrier
3691,Cressida,Bulk Carrier
3693,Kukulcan,Oil/Chemical Tanker
3694,Delmar,Bulk Carrier
3696,Master,Bulk Carrier
3697,Levanto,Oil/Chemical Tanker
3700,Ok I,Bulk Carrier
3701,Calakmul,Oil/Chemical Tanker
3702,Steel Vision,Bulk Carrier
3704,Odysseas L,Bulk Carrier
3709,Ergina Luck,Bulk Carrier
3712,Viola,Bulk Carrier
3713,MV Courageous,Bulk Carrier
3725,May Oldendorff,Bulk Carrier
3733,Konstantinos II,Bulk Carrier
3734,Goldengate Park,Oil/Chemical Tanker
3735,Lark,Bulk Carrier
3743,Indigo,Bulk Carrier
3751,Indian Solidarity,Bulk Carrier
3752,Indian Harmony,Bulk Carrier
3753,Indian Friendship,Bulk Carrier
3756,Fernie,Bulk Carrier
3757,Kestrel1,Bulk Carrier
3758,Cape Eagle,Bulk Carrier
3759,Heythrop,Bulk Carrier
3760,Sing Fu Star,Bulk Carrier
3761,WSmash,Bulk Carrier
3762,Dauntless,Bulk Carrier
3763,Locomotion,Bulk Carrier
3764,African Joseph R,Bulk Carrier
3765,Atlantic Ace,Bulk Carrier
3767,Leon Herc,Oil/Chemical Tanker
3769,Mina Oldendorff,Bulk Carrier
3770,Fearless,Bulk Carrier
3774,Stenaweco Venture,Oil/Chemical Tanker
3775,Histria Ambra,Oil/Chemical Tanker
3781,Doric Breeze,Oil/Chemical Tanker
3784,Adeline,Oil/Chemical Tanker
3793,Nimertis,Bulk Carrier
3794,Flag Hope,Bulk Carrier
