Country,LOCODE,Name,NameWithoutDiacritics,Subdivision,Function,IATA,Latitude,Longitude
KW,KW KHT,As Sulaybikhat,As Sulaybikhat,AH,1-3-----,,,
KW,KW DOH,Doha,Doha,KU,1-------,,29.383333333333333,47.8
KW,KW JBD,Jebel Dhana,Jebel Dhana,,1-------,,,
KW,KW KWM,Khor al Mufatta,Khor al Mufatta,,1-------,,,
KW,KW KWI,Kuwait,Kuwait,,1--45---,,,
KW,KW MZR,Mina Al Zour,Mina Al Zour,AH,1-------,,28.716666666666665,48.4
KW,KW MIS,Mina Saud,Mina Saud,,1-------,,28.766666666666666,48.46666666666667
KW,KW MIB,Mina' 'Abd Allah,Mina' 'Abd Allah,,1-------,,29.016666666666666,48.166666666666664
KW,KW MEA,Mina' al Ahmadi,Mina' al Ahmadi,,1-------,,29.066666666666666,48.15
KW,KW SMY,Salmiya,Salmiya,HA,1-------,,29.333333333333332,48.083333333333336
KW,KW SAA,Shuaiba,Shuaiba,,1-3--6--,,29.033333333333335,48.13333333333333
KW,KW SWK,Shuwaikh,Shuwaikh,,1-------,,29.35,47.93333333333333
KY,KY GEC,"Georgetown, Grand Cayman","Georgetown, Grand Cayman",,1-34----,,19.3,-81.38333333333334
KZ,KZ AAU,Aktau,Aktau,47,12-4----,,43.65,51.15
KZ,KZ BTN,Bautino,Bautino,,1----6--,,44.53333333333333,50.25
KZ,KZ TAU,Temirtau,Temirtau,35,1-3-----,,50.05,72.95
LB,LB ACT,Amchit,Amchit,JL,1-------,,34.15,35.63333333333333
LB,LB BEY,Beirut,Beirut,BA,1--45---,,33.833333333333336,35.483333333333334
LB,LB LN8,Bekaa,Bekaa,BI,1-3-----,,34.0,36.13333333333333
LB,LB BRU,Brummana,Brummana,JL,1-3--6--,,35.88333333333333,35.61666666666667
LB,LB BYL,Byblos,Byblos,JL,1-3-----,,34.11666666666667,35.65
LB,LB CHK,Chekka,Chekka,,1-------,,,
LB,LB DRA,Dora,Dora,JL,1-------,,33.916666666666664,35.56666666666667
LB,LB JIE,Jieh,Jieh,,1-------,,,
LB,LB KHA,Khalde,Khalde,,1-------,,,
LB,LB OUZ,Ouzai,Ouzai,,1-------,,,
LB,LB SAY,Saydå,Sayda,,1-3-----,,33.55,35.36666666666667
LB,LB SEL,Selaata,Selaata,,1-------,,,
LB,LB SUR,Sur (Tyre),Sur (Tyre),,1-------,,,
LB,LB KYE,Tripoli,Tripoli,,1--4----,,,
LB,LB ZHR,Zahrani Terminal,Zahrani Terminal,,1-------,,,
LB,LB ZUK,Zouk,Zouk,JL,1-------,,33.96666666666667,35.63333333333333
LC,LC CAS,Castries,Castries,,1-3-----,,14.016666666666667,-60.96666666666667
LC,LC CDS,Cul de Sac,Cul de Sac,,1-------,,,
LC,LC VIF,Vieux Fort,Vieux Fort,,1-------,,,
LK,LK BTC,Batticoloa,Batticoloa,,1--4----,,,
LK,LK BRW,Beruwala,Beruwala,,1-------,,,
LK,LK CMB,Colombo,Colombo,11,12345---,,6.916666666666667,79.85
LK,LK GAL,Galle,Galle,,1-------,,,
LK,LK HBA,Hambantota,Hambantota,,1-------,,6.116666666666666,81.11666666666666
LK,LK JAF,Jaffna,Jaffna,,1--4----,,,
LK,LK JCT,Jaya Container Terminal,Jaya Container Terminal,,1-------,,,
LK,LK KAL,Kalpitiya,Kalpitiya,,1-------,,,
